,Method,exp0_AUC,exp1_AUC,exp1.1_AUC,exp1.1.1_AUC,exp2_AUC,exp3_AUC
0,fastai_lstm_bidir,0.842(11),0.845(20),0.857(21),0.854(08),0.810(14),0.843(24)
1,fastai_fcn_wang,0.782(14),0.790(17),0.830(16),0.839(08),0.741(20),0.716(44)
2,fastai_inception1d,0.783(11),0.833(16),0.855(17),0.828(08),0.784(16),0.686(38)
3,fastai_lstm,0.807(14),0.846(15),0.869(17),0.877(08),0.779(19),0.789(42)
4,Wavelet+NN,0.530(18),0.520(22),0.525(31),0.536(12),0.520(32),0.540(59)
6,fastai_xresnet1d101,0.821(11),0.839(13),0.862(11),0.844(08),0.758(16),0.702(38)
8,fastai_resnet1d_wang,0.772(14),0.832(15),0.856(18),0.842(08),0.743(15),0.788(24)
5,naive,0.500(00),0.500(00),0.500(00),0.500(00),0.500(00),0.500(00)
7,ensemble,0.844(09),0.868(14),0.896(13),0.872(07),0.825(15),0.841(31)
