,Method,exp0_AUC,exp1_AUC,exp1.1_AUC,exp1.1.1_AUC,exp2_AUC,exp3_AUC
1,fastai_lstm_bidir,0.873(14),0.896(17),0.909(11),0.904(06),0.834(14),0.899(30)
2,fastai_resnet1d_wang,0.869(13),0.898(13),0.895(17),0.899(06),0.783(23),0.867(23)
4,Wavelet+NN,0.574(18),0.562(19),0.625(18),0.568(11),0.548(25),0.604(37)
5,fastai_fcn_wang,0.866(13),0.867(21),0.888(14),0.900(06),0.822(13),0.840(30)
6,fastai_inception1d,0.861(12),0.895(21),0.890(12),0.897(06),0.870(10),0.851(30)
7,fastai_lstm,0.876(12),0.897(19),0.895(08),0.912(06),0.833(15),0.885(30)
8,fastai_xresnet1d101,0.895(09),0.891(13),0.907(11),0.897(06),0.828(15),0.888(31)
0,naive,0.500(00),0.500(00),0.500(00),0.500(00),0.500(00),0.500(00)
3,ensemble,0.901(11),0.909(17),0.925(09),0.918(05),0.873(10),0.930(14)
