,Method,exp0_AUC,exp1_AUC,exp1.1_AUC,exp1.1.1_AUC,exp2_AUC,exp3_AUC
1,fastai_xresnet1d101,0.924(07),0.934(08),0.927(12),0.926(05),0.897(13),0.956(16)
2,fastai_inception1d,0.921(07),0.928(11),0.922(15),0.915(06),0.885(15),0.942(16)
3,fastai_fcn_wang,0.910(07),0.928(08),0.923(15),0.925(05),0.870(13),0.923(15)
4,fastai_resnet1d_wang,0.914(09),0.931(07),0.932(11),0.928(05),0.867(20),0.941(13)
6,Wavelet+NN,0.732(15),0.731(22),0.783(25),0.768(08),0.633(33),0.777(24)
7,fastai_lstm,0.909(09),0.925(08),0.934(10),0.926(06),0.858(16),0.954(11)
8,fastai_lstm_bidir,0.915(08),0.927(07),0.926(13),0.919(06),0.861(15),0.953(11)
0,ensemble,0.927(07),0.937(07),0.936(11),0.930(05),0.904(15),0.961(11)
5,naive,0.500(00),0.500(00),0.500(00),0.500(00),0.500(00),0.500(00)
